Issuer,Type,Lien,Election,Series,Cusip,Secondary Credit,Term,Maturity,Par Amount,Outstanding Amount,Coupon,Call Date,Call Price,Fed Tax,AMT
Alameda City of ,Lease,,,2023,01078EAX2-20500501,Aquatic Center,Y,5/1/2050,"$3,830,000 ","$735,000 ",4.13%,5/1/2032,100,Tax-Exempt,
Alameda City of ,Lease,,,2023,01078EAX2-20510501,Aquatic Center,Y,5/1/2051,"$3,830,000 ","$765,000 ",4.13%,5/1/2032,100,Tax-Exempt,
Alameda City of ,Lease,,,2023,01078EAX2-20520501,Aquatic Center,Y,5/1/2052,"$3,830,000 ","$795,000 ",4.13%,5/1/2032,100,Tax-Exempt,
Alameda City of ,Lease,,,2023,01078EAX2-20530501,Aquatic Center,Y,5/1/2053,"$3,830,000 ","$830,000 ",4.13%,5/1/2032,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AM2,,,8/1/2024,"$440,000 ","$440,000 ",2.25%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AN0-20250801,,Y,8/1/2025,"$1,395,000 ","$450,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AN0-20260801,,Y,8/1/2026,"$1,395,000 ","$465,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AN0-20270801,,Y,8/1/2027,"$1,395,000 ","$480,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AP5-20280801,,Y,8/1/2028,"$995,000 ","$490,000 ",2.75%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AP5-20290801,,Y,8/1/2029,"$995,000 ","$505,000 ",2.75%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AQ3-20300801,,Y,8/1/2030,"$2,175,000 ","$520,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AQ3-20310801,,Y,8/1/2031,"$2,175,000 ","$535,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AQ3-20320801,,Y,8/1/2032,"$2,175,000 ","$550,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AQ3-20330801,,Y,8/1/2033,"$2,175,000 ","$570,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AR1-20340801,,Y,8/1/2034,"$1,810,000 ","$585,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AR1-20350801,,Y,8/1/2035,"$1,810,000 ","$605,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AR1-20360801,,Y,8/1/2036,"$1,810,000 ","$620,000 ",3.00%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AS9-20370801,,Y,8/1/2037,"$1,985,000 ","$640,000 ",3.13%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AS9-20380801,,Y,8/1/2038,"$1,985,000 ","$660,000 ",3.13%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AS9-20390801,,Y,8/1/2039,"$1,985,000 ","$685,000 ",3.13%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AT7-20400801,,Y,8/1/2040,"$2,190,000 ","$705,000 ",3.25%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AT7-20410801,,Y,8/1/2041,"$2,190,000 ","$730,000 ",3.25%,7/5/2024,100,Tax-Exempt,
Alameda City of ,Sewer,,,2012A,010782AT7-20420801,,Y,8/1/2042,"$2,190,000 ","$755,000 ",3.25%,7/5/2024,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2018A,010878AS5,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2026,$0 ,"$9,190,000 ",4.00%,,,Taxable,
Alameda County of ,General Obligation,,,2018A,010878AT3,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2027,$0 ,"$9,560,000 ",4.00%,,,Taxable,
Alameda County of ,General Obligation,,,2018A,010878AU0,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2028,$0 ,"$9,940,000 ",3.38%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878AV8,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2029,$0 ,"$10,275,000 ",3.53%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878AW6,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2030,$0 ,"$10,640,000 ",3.63%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878AX4,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2031,$0 ,"$11,025,000 ",3.70%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878AY2,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2032,$0 ,"$11,435,000 ",3.75%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878AZ9,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,,8/1/2033,$0 ,"$11,865,000 ",3.80%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878BA3-20340801,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,Y,8/1/2034,$0 ,"$12,315,000 ",3.82%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878BA3-20350801,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,Y,8/1/2035,$0 ,"$12,785,000 ",3.82%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878BA3-20360801,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,Y,8/1/2036,$0 ,"$13,275,000 ",3.82%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878BA3-20370801,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,Y,8/1/2037,$0 ,"$13,780,000 ",3.82%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2018A,010878BA3-20380801,Measure A1 - Dedicated Unlimited Ad Valorem Property Tax,Y,8/1/2038,$0 ,"$14,305,000 ",3.82%,2/1/2028,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BE5,Measure A1 Social,,8/1/2026,$0 ,"$10,550,000 ",3.41%,,,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BF2,Measure A1 Social,,8/1/2027,$0 ,"$10,910,000 ",3.46%,,,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BG0,Measure A1 Social,,8/1/2028,$0 ,"$11,290,000 ",3.52%,,,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BH8,Measure A1 Social,,8/1/2029,$0 ,"$11,685,000 ",3.60%,,,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BJ4,Measure A1 Social,,8/1/2030,$0 ,"$12,105,000 ",3.65%,,,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BK1,Measure A1 Social,,8/1/2031,$0 ,"$12,550,000 ",3.70%,,,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BL9,Measure A1 Social,,8/1/2032,$0 ,"$13,010,000 ",3.75%,,,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BM7,Measure A1 Social,,8/1/2033,$0 ,"$13,500,000 ",3.95%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BN5,Measure A1 Social,,8/1/2034,$0 ,"$14,030,000 ",4.05%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BP0,Measure A1 Social,,8/1/2035,$0 ,"$14,600,000 ",4.17%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BQ8,Measure A1 Social,,8/1/2036,$0 ,"$15,205,000 ",4.30%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BR6,Measure A1 Social,,8/1/2037,$0 ,"$15,865,000 ",4.40%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BS4,Measure A1 Social,,8/1/2038,$0 ,"$16,560,000 ",4.45%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BT2-20390801,Measure A1 Social,Y,8/1/2039,$0 ,"$32,150,000 ",4.55%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BT2-20400801,Measure A1 Social,Y,8/1/2040,$0 ,"$33,610,000 ",4.55%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BT2-20410801,Measure A1 Social,Y,8/1/2041,$0 ,"$35,140,000 ",4.55%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2022B,010878BT2-20420801,Measure A1 Social,Y,8/1/2042,$0 ,"$36,735,000 ",4.55%,8/1/2032,100,Taxable,
Alameda County of ,General Obligation,,,2025,010892AA5,Fire Department,,6/1/2026,$0 ,"$3,690,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AB3,Fire Department,,6/1/2037,$0 ,"$1,010,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AC1,Fire Department,,6/1/2038,$0 ,"$1,020,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AD9,Fire Department,,6/1/2039,$0 ,"$1,220,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AE7,Fire Department,,6/1/2040,$0 ,"$1,440,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AF4,Fire Department,,6/1/2041,$0 ,"$1,670,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AG2,Fire Department,,6/1/2042,$0 ,"$1,925,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AH0,Fire Department,,6/1/2043,$0 ,"$2,190,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AJ6,Fire Department,,6/1/2044,$0 ,"$2,480,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AK3,Fire Department,,6/1/2045,$0 ,"$2,790,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AL1-20460601,Fire Department,Y,6/1/2046,$0 ,"$3,120,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AL1-20470601,Fire Department,Y,6/1/2047,$0 ,"$3,475,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AL1-20480601,Fire Department,Y,6/1/2048,$0 ,"$3,855,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AL1-20490601,Fire Department,Y,6/1/2049,$0 ,"$4,260,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AL1-20500601,Fire Department,Y,6/1/2050,$0 ,"$4,690,000 ",5.00%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AM9-20510601,Fire Department,Y,6/1/2051,$0 ,"$5,150,000 ",5.25%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AM9-20520601,Fire Department,Y,6/1/2052,$0 ,"$5,655,000 ",5.25%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AM9-20530601,Fire Department,Y,6/1/2053,$0 ,"$6,195,000 ",5.25%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AM9-20540601,Fire Department,Y,6/1/2054,$0 ,"$6,775,000 ",5.25%,6/1/2035,100,Tax-Exempt,
Alameda County of ,General Obligation,,,2025,010892AM9-20550601,Fire Department,Y,6/1/2055,$0 ,"$7,390,000 ",5.25%,6/1/2035,100,Tax-Exempt,
Alameda County of ,Lease,,,2010A,010831BE4-20351201,Multiple Capital,Y,12/1/2035,$0 ,"$22,575,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20361201,Multiple Capital,Y,12/1/2036,$0 ,"$27,435,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20371201,Multiple Capital,Y,12/1/2037,$0 ,"$28,720,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20381201,Multiple Capital,Y,12/1/2038,$0 ,"$30,070,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20391201,Multiple Capital,Y,12/1/2039,$0 ,"$31,475,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20401201,Multiple Capital,Y,12/1/2040,$0 ,"$32,955,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20411201,Multiple Capital,Y,12/1/2041,$0 ,"$34,495,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20421201,Multiple Capital,Y,12/1/2042,$0 ,"$35,985,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20431201,Multiple Capital,Y,12/1/2043,$0 ,"$37,405,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2010A,010831BE4-20441201,Multiple Capital,Y,12/1/2044,$0 ,"$38,885,000 ",7.05%,,,Taxable,
Alameda County of ,Lease,,,2016,010831DC6,Juvenile Justice Refunding,,12/1/2026,$0 ,"$5,550,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DD4,Juvenile Justice Refunding,,12/1/2027,$0 ,"$5,835,000 ",5.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DE2,Juvenile Justice Refunding,,12/1/2028,$0 ,"$6,135,000 ",5.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DF9,Juvenile Justice Refunding,,12/1/2029,$0 ,"$6,445,000 ",5.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DG7,Juvenile Justice Refunding,,12/1/2030,$0 ,"$6,775,000 ",5.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DH5,Juvenile Justice Refunding,,12/1/2031,$0 ,"$7,130,000 ",5.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DJ1-20321201,Juvenile Justice Refunding,Y,12/1/2032,$0 ,"$7,415,000 ",4.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DJ1-20331201,Juvenile Justice Refunding,Y,12/1/2033,$0 ,"$7,180,000 ",4.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2016,010831DJ1-20341201,Juvenile Justice Refunding,Y,12/1/2034,$0 ,"$6,745,000 ",4.00%,12/1/2026,100,Tax-Exempt,
Alameda County of ,Lease,,,2018,010831DT9,,,6/1/2026,$0 ,"$7,245,000 ",3.40%,,,Taxable,
Alameda County of ,Lease,,,2018,010831DU6,,,6/1/2027,$0 ,"$7,485,000 ",3.50%,,,Taxable,
Alameda County of ,Lease,,,2018,010831DV4,,,6/1/2028,$0 ,"$7,750,000 ",3.60%,,,Taxable,
Alameda County of ,Lease,,,2023A,010831DY8,Highland Hospital,,12/1/2026,$0 ,"$15,465,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831DZ5,Highland Hospital,,12/1/2027,$0 ,"$16,260,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831EA9,Highland Hospital,,12/1/2028,$0 ,"$17,090,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831EB7,Highland Hospital,,12/1/2029,$0 ,"$17,970,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831EC5,Highland Hospital,,12/1/2030,$0 ,"$18,895,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831ED3,Highland Hospital,,12/1/2031,$0 ,"$19,860,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831EE1,Highland Hospital,,12/1/2032,$0 ,"$20,875,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831EF8,Highland Hospital,,12/1/2033,$0 ,"$21,950,000 ",5.00%,,,Tax-Exempt,
Alameda County of ,Lease,,,2023A,010831EG6,Highland Hospital,,12/1/2034,$0 ,"$23,075,000 ",5.00%,12/1/2033,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AR8,,,8/1/2026,$0 ,"$1,285,000 ",4.25%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AS6-20270801,,Y,8/1/2027,$0 ,"$1,340,000 ",4.38%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AS6-20280801,,Y,8/1/2028,$0 ,"$1,395,000 ",4.38%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AS6-20290801,,Y,8/1/2029,$0 ,"$1,455,000 ",4.38%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AS6-20300801,,Y,8/1/2030,$0 ,"$1,520,000 ",4.38%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AT4-20310801,,Y,8/1/2031,$0 ,"$1,585,000 ",5.00%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AT4-20320801,,Y,8/1/2032,$0 ,"$1,665,000 ",5.00%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AT4-20330801,,Y,8/1/2033,$0 ,"$1,750,000 ",5.00%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AT4-20340801,,Y,8/1/2034,$0 ,"$1,835,000 ",5.00%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AT4-20350801,,Y,8/1/2035,$0 ,"$1,930,000 ",5.00%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tax Allocation,,,2006A,011113AT4-20360801,,Y,8/1/2036,$0 ,"$2,025,000 ",5.00%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tobacco,,,2002,13016NBY9,,,6/1/2042,$0 ,"$65,195,000 ",6.00%,6/12/2026,100,Tax-Exempt,
Alameda County of ,Tobacco,,,2006A,13016NCH5,,,6/1/2050,$0 ,"$578,840,000 ",0.00%,5/28/2026,23.09,Tax-Exempt,
Alameda County of ,Tobacco,,,2006B,13016NCJ1,,,6/1/2050,$0 ,"$237,220,000 ",0.00%,5/28/2026,20.55,Tax-Exempt,
Alameda County of ,Tobacco,,,2006C,13016NCK8,,,6/1/2055,$0 ,"$633,310,000 ",0.00%,5/28/2026,11.65,Tax-Exempt,
